Date	Close
1975-01-03	61.23
1975-01-10	63.69
1975-01-17	64.4
1975-01-24	65.38
1975-01-31	69.78
1975-02-07	71.12
1975-02-14	73.26
1975-02-21	73.79
1975-02-28	73
1975-03-07	74.4
1975-03-14	76.07
1975-03-21	75.92
1975-03-28	76.18
1975-04-04	74.73
1975-04-11	76.31
1975-04-18	78.08
1975-04-25	78.64
1975-05-02	80.25
1975-05-09	82.82
1975-05-16	82.44
1975-05-23	82.62
1975-05-30	83.1
1975-06-06	84.77
1975-06-13	83.43
1975-06-20	85.24
1975-06-27	86.5
1975-07-04	86.2
1975-07-11	87.2
1975-07-18	87.02
1975-07-25	83.6
1975-08-01	81.62
1975-08-08	79.55
1975-08-15	78.58
1975-08-22	76.45
1975-08-29	79.01
1975-09-05	77.78
1975-09-12	74.72
1975-09-19	76.39
1975-09-26	76.14
1975-10-03	75.5
1975-10-10	76.96
1975-10-17	77.63
1975-10-24	78.62
1975-10-31	76.99
1975-11-07	77.21
1975-11-14	78.98
1975-11-21	77.74
1975-11-28	78.8
1975-12-05	74.72
1975-12-12	74.91
1975-12-19	75.92
1975-12-26	77.13
1976-01-02	78.06
1976-01-09	82.31
1976-01-16	84.3
1976-01-23	85.26
1976-01-30	87.05
1976-02-06	87.25
1976-02-13	88.96
1976-02-20	91.02
1976-02-27	90.26
1976-03-05	89.47
1976-03-12	90.99
1976-03-19	89.54
1976-03-26	90.89
1976-04-02	90.63
1976-04-09	88.89
1976-04-16	89.17
1976-04-23	90.6
1976-04-30	90.08
1976-05-07	90.02
1976-05-14	89.78
1976-05-21	89.39
1976-05-28	88.04
1976-06-04	87.75
1976-06-11	87.71
1976-06-18	90.05
1976-06-25	90.05
1976-07-02	90.88
1976-07-09	91.48
1976-07-16	92.4
1976-07-23	91.6
1976-07-30	91.29
1976-08-06	91.64
1976-08-13	91.81
1976-08-20	90.19
1976-08-27	89.14
1976-09-03	91.02
1976-09-10	91.19
1976-09-17	91.61
1976-09-24	92.31
1976-10-01	90.44
1976-10-08	89.38
1976-10-15	89.06
1976-10-22	89.26
1976-10-29	90.35
1976-11-05	89.47
1976-11-12	88.1
1976-11-19	89.97
1976-11-26	91.42
1976-12-03	92.31
1976-12-10	94.62
1976-12-17	94.64
1976-12-24	95.22
1976-12-31	97.88
1977-01-07	97.53
1977-01-14	97.2
1977-01-21	97.32
1977-01-28	95.72
1977-02-04	96.74
1977-02-11	96.09
1977-02-18	96.38
1977-02-25	94.9
1977-03-04	96.07
1977-03-11	96.07
1977-03-18	96.44
1977-03-25	95.28
1977-04-01	94.54
1977-04-08	94.03
1977-04-15	96.26
1977-04-22	95.12
1977-04-29	95.48
1977-05-06	96.9
1977-05-13	97.41
1977-05-20	98
1977-05-27	95.9
1977-06-03	96.19
1977-06-10	97.07
1977-06-17	98.61
1977-06-24	99.66
1977-07-01	99.9
1977-07-08	100.81
1977-07-15	101.41
1977-07-22	103.11
1977-07-29	100.65
1977-08-05	100.86
1977-08-12	100.76
1977-08-19	100.85
1977-08-26	99.89
1977-09-02	100.83
1977-09-09	100.91
1977-09-16	100.74
1977-09-23	99.57
1977-09-30	100.85
1977-10-07	101.62
1977-10-14	99.05
1977-10-21	98.54
